Name,Country,Region
#100. Baron De Ley 2018 White,Spain,Rioja
#99. Dalton 2019 Canaan Red,Israel,Galilee
#98. Oyster Bay 2018 Merlot,New Zealand,Hawke's Bay
#97. Zantho 2018 Blaufränkisch,Austria,Burgenland
#96. Veramonte 2019 Reserva Made with Organic Grapes Sauvignon Blanc,Chile,Casablanca Valley
#95. Excelsior 2018 Cabernet Sauvignon,South Africa,Robertson
#94. Caruso & Minini 2018 Terre di Giumara Nero d'Avola,Italy,Sicilia
#93. Aveleda 2019 White,Portugal,Vinho Verde
#92. Greek Wine Cellars 2018 Kouros Assyrtiko,Greece,Sterea Ellada
#91. Masia Salat NV Organic Brut Nature Sparkling,Spain,Cava
#90. Dr. Heidemanns-Bergweiler 2018 Blitz Riesling,Germany,Mosel
#89. DiamAndes 2019 Perlita Chardonnay,Argentina,Uco Valley
#88. Umani Ronchi 2018 Podere Montepulciano,Italy,Montepulciano d'Abruzzo
#87. Wine by Joe 2019 Pinot Blanc,USA,Willamette Valley
#86. Piccini 2019 Mario Primo Red,Italy,Chianti
#85. Alto de la Ballena 2015 Tannat-Merlot-Cabernet Franc Red,Uruguay,Maldonado
#84. Domaine Bousquet NV Brut Rosé Pinot Noir-Chardonnay...,Argentina,Tupungato
#83. Georges Vigouroux 2018 Gouleyant Malbec,France,Cahors
#82. Calcu 2017 Reserva Especial Cabernet Franc,Chile,Colchagua Valley
#81. Two Birds One Stone 2019 Rouge Carignan,France,Vin de France
#80. Trivento 2018 White Orchid Reserve Torrontés,Argentina,Mendoza
#79. Wagner 2019 Dry Rosé of Cabernet Franc,USA,Finger Lakes
#78. Domaines Barons de Rothschild (Lafite) 2017 BrisAndes Cabernet Sauvignon,Chile,Colchagua Valley
#77. Villa Maria 2019 Private Bin Sauvignon Blanc,New Zealand,Marlborough
#76. Tenute Rubino 2018 Primitivo,Italy,Salento
#75. Mezzacorona 2019 Estate Bottled Pinot Grigio,Italy,Trentino
#74. D'Arenberg 2017 The Stump Jump Shiraz,Australia,McLaren Vale
